query,result_count
三原縣,65400
三叉神經,22700000
三反,15100000
三句話不離本行,4720000
三合會,147000
三味線,827000
三和弦,10300000
三國志,100000000
三地門鄉,374000
三天不打，上房揭瓦,2890000
三天打魚，兩天曬網,320000
三夷教,121000
三姑六婆,33300000
三官大帝,9750000
三家村,9980000
三寶太監,85200
三寸不爛之舌,811000
三對三鬥牛,1210000
三小,93700000
三尖杉酯鹼,108000
三屜桌,2790
三山,100000000
三山區,1280000
三島由紀夫,946000
三峽水庫,1690000
三峽鎮,82500
三廂,65500
三廢,128000
三弦,32300000
三得利,17800000
三從四德,738000
三手病,100000000
三振,5190000
三振出局,2050000
三教九流,33700000
三文治,17200000
三族,37200000
三明,100000000
三星鄉,1300000
三星集團,7700000
三春,48400000
三昧,59700000
三月,100000000
三月份,100000000
三朋四友,2040000
三柱門,2130000
三框欄,24
三條,100000000
三極管,528000
三權分立,1420000
三次冪,1920000
三次方程,4050000
三次曲線,2820000
三段論,45300
三毛貓,168000
三民,54000000
三氯化磷,3330000
三氯已烯,24800000
三氯已烷,26300000
三氯甲烷,12600000
三水區,146000
三江並流,420000
三江平原,12500000
三江源,29800000
三江生態旅遊區,617000
三河,100000000
三河市,100000000
三法司,2730000
三洋,100000000
三流,100000000
三浦,73600000
三浦梅園,91
三溫暖,10600000
三灣,142000
三灣鄉,72100
三炮,21200000
三焦,60500000
三牲,11200000
三生有幸,39800000
三用表,100000000
三甲,100000000
三略,8320000
三番五次,54700000
三疊紀,21000
三百六十行,100000000
三皇,73600000
三皇五帝,34900000
三相點,219000
三碳糖,832000
三磷酸腺苷,14400000
三秒膠,291000
三稜草,606000
三穗縣,6150
三等分角,6790000
三節鞭,9710000
三級,6140000
三級士官,240000
三級跳遠,429000
三綱五常,345000
三緘其口,253000
三義鄉,116000
三聚氰胺,47600000
三聚體,374000
三聯書店,1320000
三聯管,2800000
三胞胎,17400000
三腳架,3990000
三腳貓,54700
三色堇,12100000
三芝,1270000
三芝鄉,17400
三茶六飯,905000
三葉星雲,5700
三藩叛亂,35500
三蘇,90400
三號木桿,19400
三號電池,1810000
三親六故,2870000
三角,100000000
三角債,601000
三角函數,17000000
三角巾,14500000
三角座,688000
三角恐龍,3850000
三角柱體,5610000
三角洲,79500000
三角測量法,7070000
三角肌,15600000
三角腹帶,43400
三角錐,1090000
三角鐵,1860000
三論宗,2150000
三足烏,78100
三足金烏,77400
三趾啄木鳥,12800
三趾翠鳥,14900
三軍,1150000
三軍用命,202000
三輪車,39600000
三迭紀,882
三退,100000000
三通,74700000
三邊形,34600000
三部曲,74000000
三都縣,2070000
三酸甘油酯,1880000
三重,74500000
三重市,100000000
三鍵,86900
三門,42400000
三門峽市,52100
三音,6800000
三項,1800000
三駕馬車,2880000
三魂,18500000
三鹿集團,239000
三點全露,9510000
三點水,54100
上,100000000
上一次當，學一次乖,404000
上下床,28300000
上下班,83600000
上不了檯面,1210000
上代,100000000
上任,100000000
上位,81400000
上位概念,11800000
上佳,62400000
上來,100000000
上前,100000000
上升趨勢,22100000
上午,100000000
上半夜,37500000
上半天,9890000
上半晌,5900000
上口,83900000
上古,87600000
上古漢語,932000
上台,93700000
上司,89200000
上合,37000000
上吊,68200000
上吐下瀉,3360000
上周,100000000
上品,70600000
上唇,33500000
上回,100000000
上坡段,5770000
上坡路,8540000
上域,1240000
上場,2250000
上墳,76900
上外,28500000
上天,100000000
上家,100000000
上將軍,8240000
上尉,50500000
上峰,13100000
上帝,100000000
上座,48200000
上弦月,8380000
上心,71100000
上思縣,11400
上旬,77700000
上星,32000000
上星期,89800000
上映,89900000
上書,63900000
上月,100000000
上有政策，下有對策,349000
上杭,33000000
上杭縣,27900
上林,63900000
上架,85200000
上栗縣,10500
上梁不正下梁歪,8560000
上樓,558000
上標,116000
上氣不接下氣,3420000
上水,75200000
上汽,67700000
上流社會,3280000
上浣,670000
上浮,77800000
上海,100000000
上海大劇院,1000000
上海大學,100000000
上海寶鋼集團公司,689000
上海戲劇學院,3670000
上海振華港口機械,14400
上海文廣新聞傳媒集團,108000
上海浦東發展銀行,1520000
上海話,48100000
上海證券交易所綜合股價指,1600000
上海醫科大學,3540000
上游,100000000
上演,83600000
上火,100000000
上片,100000000
上犬式,2520000
上班,100000000
上班時間,69400000
上環,1210000
上甘嶺,80500
上甘嶺區,1390
上田,21700000
上當,55400000
上癮,3740000
上瞼,6510000
上空,88400000
上算,100000000
上箭頭,8890000
上級,2240000
上網本,8350000
上繳,10600000
上肢,80700000
上膘,1050000
上膛,13800000
上臂,69400000
上船,69300000
上色,76400000
上艾瑟爾,41900
上菜,65800000
上蒼,7740000
上蔡,32800000
上蔡縣,22800
上虞,65700000
上行下傚,595000
上裝,411000
上覆,20400000
上訴法院,38700000
上調,504000
上賊船,421000
上車,92100000
上載,1160000
上輩,33500
上進心,3690000
上達,32300000
上邊,257000
上邊兒,12300
上部,100000000
上都,100000000
上鉤,190000
上鉤兒,295
上門費,11700000
上限,100000000
上陣,1060000
上面,100000000
上鞋,26400000
上頁,63500000
上頜,58700
上頷,55500000
上顎正門齒,67
上饒市,105000
上饒縣,17900
上高,63600000
上高縣,12900
上齒,7640000
上齒齦,120000
下,100000000
下一代,88500000
下一個,100000000
下一次,100000000
下一步,100000000
下一站,67600000
下一頁,100000000
下三爛,1340000
下不了臺,27100000
下不來,2630000
下不來臺,188000
下不為例,100000000
下任,100000000
下作,100000000
下來,29100000
下個,100000000
下個星期,100000000
下個月,100000000
下功夫,77100000
下午,100000000
下半,100000000
下半天,19700000
下同,100000000
下唇,56200000
下坡,77000000
下城區,155000
下夸克,5510000
下嫁,21600000
下定義,22500000
下家,100000000
下寒武統,67500
下層,856000
下屬公司,12200000
下崗,228000
下崽,5500000
下巴,83600000
下巴頦,397000
下弦,13000000
下弦月,4850000
下意識,9260000
下挫,52100000
下擺,184000
下放,75400000
下方,100000000
下月,74500000
下榻,48400000
下次,100000000
下毒手,13100000
下水禮,35200
下決心,9940000
下注,65800000
下浮,40100000
下海,68100000
下滑,100000000
下營,34300000
下營鄉,2480000
下片,100000000
下班,100000000
下界,53800000
下畫線,72500000
下發,96700000
下確界,112000
下箭頭鍵,979000
下線,695000
下腳料,35000
下腹部,34200000
下臺,123000
下花園,11000000
下花園區,12200
下落,97100000
下落不明,67100000
下葬,65300000
下蛋,48800000
下行,93000000
下裝,79400000
下視丘,51600
下訂單,12000000
下議院,3330000
下賤,663000
下車,3170000
下載,62600000
下輩,35000
下達,933000
下邊兒,105000
下鄉,424000
下酒,65200000
下關,201000
下降,100000000
下院,20200000
下陷,50300000
下陸,17800
下陸區,6690
下面,100000000
下頜,169000
下頜下腺,428000
下頜骨,7510000
下風方向,9980000
下麵,1070000
下鼻甲,6360000
不,100000000
不一,100000000
不一會,13500000
不一樣,100000000
不三不四,9360000
不下,100000000
不下于,100000000
不中用,100000000
不乏,13700000
不了了之,100000000
不予理會,71900000
不予置評,6350000
不予評論,3520000
不事張揚,187000
不二,78000000
不亞,21200000
不亞於,2350000
不亢不卑,2500000
不亦樂乎,1530000
不人道,100000000
不仁,12800000
不令人鼓舞,11700000
不以人廢言,464000
不以為意,852000
不以規矩，不能成方圓,711000
不以詞害誌,21300000
不以辭害志,1240000
不休,85300000
不但,100000000
不作死就不會死,64800000
不作為,19300000
不佞,2450000
不依,54000000
不便,100000000
不俗,73100000
不信任投票,964000
不信任案,3570000
不信用,49000000
不倒翁,41400000
不倦,12200000
不倫,11100000
不倫不類,2930000
不值一文,100000000
不值錢,11300000
不假思索,54000000
不偏斜,11700000
不偏極,306000
不做聲,33000000
不備,53800000
不傷脾胃,3730000
不僅,18200000
不僅如此,5330000
不像話,9860000
不光,100000000
不光彩,9820000
不免一死,100000000
不入時宜,842000
不公,100000000
不共戴天,22200000
不兼容性,56300000
不再,100000000
不凍港,6180
不凍港口,571000
不凡,81600000
不分,100000000
不分上下,53100000
不分勝負,460000
不分彼此,12100000
不分晝夜,347000
不分皂白,830000
不分高下,100000000
不切實際,4330000
不刊之論,14000000
不划算,30100000
不列顛哥倫比亞,406000
不列顛諸島,12100
不利,80800000
不到火候不揭鍋,634000
不到長城非好漢,318000
不到黃河心不死,597000
不加,100000000
不加修飾,2160000
不加區別,100000000
不加拘束,2740000
不加掩飾,202000
不加理睬,5150000
不加選擇,37300000
不動搖,5660000
不動聲色,1180000
不動點,9970000
不動點定理,130000
不勝其煩,1430000
不勞無獲,106000
不勞而獲,4840000
不匱,1940000
不卑不亢,49400000
不協調,7380000
不即不離,6470000
不厭,25900000
不厭其煩,2400000
不及,76000000
不及格,79100000
不及物動詞,9150000
不可,100000000
不可侵犯,6370000
不可侵犯權,28000000
不可分離,9650000
不可勝數,793000
不可名狀,2730000
不可告人,42100000
不可導,14900000
不可思議,13500000
不可或缺,94800000
不可抗力,81100000
不可抗拒,69800000
不可撤銷信用證,275000
不可救藥,1080000
不可磨滅,310000
不可缺少,44000000
不可置信,6400000
不可逆,78600000
不可靠,12500000
不合,100000000
不合作,22300000
不合時宜,1600000
不合法,78000000
不合理,100000000
不合體統,161000
不吉,14000000
不吉利,18700000
不同,100000000
不同凡響,736000
不名一文,1610000
不名一錢,11700000
不吐氣,1290000
不吝珠玉,190000
不含糊,12400000
不周,86500000
不周山,12700000
不周延,8830000
不咋地,73600000
不咎既往,12000000
不問,92600000
不問好歹,2590000
不問青紅皂白,27300
不啻,22400000
不啻天淵,17900
不在,100000000
不在乎,24100000
不在了,100000000
不在其位不謀其政,181000
不在狀態,16400000
不在話下,8230000
不堪,100000000
不堪一擊,1690000
不堪入目,32600000
不堪忍受,20400000
不堪設想,855000
不外,100000000
不外露,87300000
不大,100000000
不大離,66
不大離兒,7190000
不太好,100000000
不失時機,234000
不失為,70700000
不好,100000000
不好意思,100000000
不好說,92500000
不如,100000000
不妙,67600000
不妥,14600000
不妥協,7210000
不孕症,59400000
不孚眾望,168000
不孝,70100000
不孝有三，無後為大,116000
不學無術,799000
不安,100000000
不安其室,324000
不安分,54900000
不安好心,6150000
不完善,76600000
不定,100000000
不定元,100000000
不定冠詞,1920000
不定式,37100000
不定方程,2950000
不定期,100000000
不定積分,14100000
不客氣,4650000
不容,100000000
不容置疑,41300000
不容置辯,286000
不對碴兒,2910
不對稱,13100000
不對頭,3190000
不少,100000000
不屈不撓,1310000
不巧,26100000
不差,100000000
不平,100000000
不平常,23500000
不平等條約,5920000
不平衡,100000000
不幸之幸,1020000
不幸受害,16700000
不幸言中,33300000
不得,100000000
不得了,100000000
不得人心,14900000
不得其門而入,5530000
不得勁,743000
不得已而為之,100000000
不得要領,158000
不必要,45000000
不忍,68500000
不忙,23900000
不忿,16300000
不怎麼樣,100000000
不怕,93200000
不怕一萬，就怕萬一,38700
不怕不識貨，就怕貨比貨,29600
不怕官，只怕管,558000
不怕慢，就怕站,1520000
不怠,12400000
不急之務,2800000
不恤,9620000
不恥下問,2220000
不恭,9500000
不息,56500000
不悅,13500000
不悱不發,689000
不情之請,11200000
不惑,67300000
不惜,38500000
不惜一戰,84600
不惟,22100000
不想,100000000
不愉快,84900000
不愧,43100000
不慎,94000000
不憤不啟,580000
不懂裝懂,9330000
不懈,100000000
不懈怠,11300000
不應期,10500
不懷好意,459000
不成文,100000000
不成材,9590000
不成熟,94500000
不成話,78000000
不成體統,126000
不戰不和,16600000
不打不成器,918000
不打不成才,775000
不打不成相識,85000000
不打不相識,492000
不承認主義,1150000
不折不扣,72100000
不抵抗主義,215000
不拉嘰,50600
不拘,14900000
不拘一格,58000000
不拘小節,680000
不振,18500000
不揣冒昧,1360000
不搭理,100000000
不撞南牆不回頭,210000
不擇手段,4230000
不攻自破,22400000
不敗之地,543000
不敢自專,1240000
不敢苟同,17700000
不敢越雷池一步,3020000
不敢高攀,1340000
不敬,15800000
不敵,48500000
不新鮮,14000000
不斷,100000000
不日,100000000
不明不白,100000000
不明事理,100000000
不明就裡,8450000
不明確,11500000
不易之論,3590000
不是,100000000
不是一家人不進一家門,246000
不是味兒,474000
不是嗎,100000000
不是東西,93500000
不是滋味,9380000
不時,100000000
不智,49200000
不暇,11700000
不曾,71100000
不會,100000000
不月,100000000
不服,100000000
不服水土,19700000
不服罪,2350000
不期,100000000
不期而遇,60600000
不朽,89700000
不材,26600000
不枉,52300000
不歡而散,1490000
不止一次,100000000
不正常,100000000
不正常狀況,14100000
不正當競爭,4670000
不正確,60600000
不死不休,19600000
不死心,11300000
不死藥,3370000
不毛,22700000
不毛之地,14900000
不求人,41400000
不求收獲,903000
不求有功，但求無過,137000
不求甚解,21700000
不治,84000000
不治之症,25400000
不治而癒,1680000
不消,72100000
不清,100000000
不減當年,896000
不渝,10800000
不湊巧,349000
不準確,22200000
不溶,23900000
不滿,60100000
不濟,38700000
不為左右袒,161000
不為酒困,4850000
不無,50600000
不無小補,12600000
不然,100000000
不特,100000000
不獨,36800000
不理不睬,13100000
不甘寂寞,20000000
不甘後人,51200
不甘心,76900000
不甘於,1300000
不甘示弱,66100000
不用客氣,806000
不用說,100000000
不用謝,18900000
不由,100000000
不由分說,12600000
不由得,100000000
不由自主,80700000
不畏強暴,93200
不畏強權,183000
不當事,65900000
不當家不知柴米貴,53200
不當得利,2310000
不疾不徐,10800000
不痛不癢,10200000
不盡,44300000
不相容,100000000
不相容原理,9210000
不相符,29900000
不省人事,29600000
不看僧面看佛面,1280000
不眠不休,12800000
不睦,9050000
不瞅不睬,596000
不知丁董,326000
不知不覺,12000000
不知何故,1850000
不知凡幾,1560000
不知去向,6250000
不知天高地厚,3300000
不知好歹,21200000
不知就裡,18800000
不知所之,100000000
不知所以,100000000
不知所措,80200000
不知疲倦,46600000
不知痛癢,99000
不知羞恥,338000
不破不立,10600000
不碎玻璃,59000000
不確定性原理,6730000
不祥,71500000
不移,49900000
不稂不莠,850000
不穩,38700000
不穩定,24700000
不穩定氣流,239000
不穩平衡,3730000
不穩性,6420000
不空成就佛,10400000
不窮,18400000
不端,62500000
不符,100000000
不第,61900000
不等,100000000
不等價交換,895000
不等式,87200000
不等邊三角形,4360000
不答理,100000000
不管三七二十一,13500000
不管怎樣,10000000
不簡單,29700000
不粘鍋,31100000
不終天年,4220000
不結盟,2290000
不結盟運動,121000
不絕,61600000
不絕如縷,564000
不絕於途,3820000
不給力,11300000
不經一事，不長一智,127000
不經意,20800000
不經意間,11400000
不置可否,25500000
不義,44300000
不耐受,10500000
不耐煩,2060000
不聞不問,1150000
不聲不響,20300000
不聽老人言，吃虧在眼前,96700
不育,79200000
不育症,47700000
不能抵抗,24200000
不能自已,56700000
不自在,69000000
不自然,100000000
不自量,100000000
不至於,38300000
不興,27500000
不舉,59300000
不舒適,13900000
不良人,22000000
不萊梅,91000
不落俗套,33400000
不落痕跡,444000
不著痕跡,1540000
不著邊際,700000
不虛此行,1190000
不虞,9450000
不衰,13700000
不要在一棵樹上吊死,256000
不見,90200000
不見一點蹤影,386000
不見了,100000000
不見棺材不落淚,136000
不見經傳,400000
不規則,16700000
不規則三角形,2310000
不解風情,498000
不言不語,10700000
不言自明,21800000
不計,53300000
不計其數,1040000
不記名,8370000
不詳,3030000
不說自明,35700000
不調和,4920000
不請自來,28300000
不論,59300000
不諱,9240000
不諳世故,49300
不謂,22100000
不識一丁,76600
不識大體,4700000
不識廬山真面目,367000
不識抬舉,157000
不識時務,382000
不識時變,30500000
不識泰山,259000
不識高低,3510000
不變價格,7040000
不變量,6390000
不讓鬚眉,1260000
不象話,11300000
不負,100000000
不負眾望,2490000
不貲,1110000
不費事,12700000
不費吹灰之力,557000
不賴,15600000
不贊一詞,3370000
不贊成,3820000
不起眼,77600000
不起眼兒,4690000
不越雷池,1330000
不足掛齒,128000
不足月,100000000
不足為外人道,100000000
不足為怪,2100000
不足為道,17100000
不足齒數,893000
不軌,11100000
不辨菽麥,88000
不辭勞苦,176000
不辭辛苦,1440000
不近人情,27500000
不迭,11700000
不送,100000000
不送氣,332000
不透明,24700000
不透氣,9710000
不透水,19400000
不通,100000000
不逞之徒,679000
不速,100000000
不連續,17500000
不連續面,4430000
不逮捕特權,137000
不遂,15300000
不過,48400000
不過爾爾,313000
不遑,10700000
不道德,67900000
不遜,403000
不遠千里,7550000
不適,100000000
不適當,8330000
不遺餘力,2740000
不避艱險,33000
不醉不歸,1400000
不銹鋼,9390000
不錯,100000000
不鏽鐵,980000
